engineering_strain_fraction,engineering_strain_percent,engineering_stress_MPa,true_strain,true_stress_MPa,plastic_strain
0.108847,10.8847,490.7305,0.10332073672253692,544.1450427335,0.1007295698523774
0.109015,10.9015,490.7621,0.10347223397558632,544.2625303315,0.10088050764067441
0.109185,10.9185,490.8029,0.1036255114080386,544.3912146365001,0.10103317229072194
0.109347,10.9347,490.8292,0.1037715539265039,544.4999005324,0.101178697257302
0.109517,10.9517,490.8292,0.10392478549034255,544.5833414964001,0.10133153148321683
0.109687,10.9687,490.8436,0.1040779935778663,544.6827619532,0.10148426613999392
0.109847,10.9847,490.8476,0.10422216798589713,544.7657363172,0.10162804543200571
0.11000700000000001,11.0007,490.866,0.10436632161066442,544.864696062,0.101771727819893
0.110175,11.0175,490.8844,0.104517660555238,544.96758877,0.10192257679919038
0.110335,11.0335,490.9068,0.10466177159304185,545.071001778,0.102066195394099
0.110502,11.0502,490.9423,0.1048121653412681,545.1924060346,0.10221601102681761
0.11066700000000002,11.0667,490.9699,0.10496073575648956,545.3040659233001,0.10236404972828338
0.11082700000000001,11.0827,490.9962,0.10510478296100748,545.4118358574,0.10250758374263891
0.110992,11.0992,491.0054,0.10525330991149562,545.5030713568,0.102655676238368
0.11116,11.116,491.0501,0.10540451468985469,545.635229116,0.10280625169406421
0.11132199999999999,11.1322,491.0646,0.10555029764808509,545.7308934012,0.10295157910807937
0.11149200000000001,11.1492,491.0961,0.10570325691533054,545.8493863811999,0.10310397412303912
0.11166499999999999,11.1665,491.1093,0.10585889144797865,545.9490199845,0.10325913420995722
0.11182700000000001,11.1827,491.1277,0.10600460818569273,546.0490373079,0.10340437467470273
0.111992,11.1992,491.1316,0.1061530015579076,546.1344101472,0.1035523615095876
0.11214700000000001,11.2147,491.15,0.10629238133610577,546.2309990499999,0.10369128134062958
0.112302,11.2302,491.1816,0.10643174169028863,546.3422760432,0.10383011180436863
0.11249,11.249,491.1948,0.1066007462538141,546.449303052,0.10399860671547125
0.11266999999999999,11.267,491.2263,0.106762532372918,546.572767221,0.10415980490996085
0.11281000000000001,11.281,491.2487,0.10688834792748123,546.666465847,0.10428517428059075
0.112967,11.2967,491.2894,0.10702942225816249,546.7888896498,0.10442566564078248
0.113135,11.3135,491.2986,0.10718035873844861,546.8816671110001,0.10457616032363433
